sim_time,x,y,yaw,v,s,accel_cmd,steer_cmd,use_dyn,solved,iter,pred_x,pred_y,pred_yaw,pred_v,pred_yawdot,pred_slip,meas_vx,meas_vy,meas_yawdot,meas_steer
0.05,0.0186,-0.0598,0.0073,0.000,0.000,0.6530,-0.0132,0,1,2,0.0195,-0.0592,0.0031,0.0327,0.0000,0.0000,0.00000,0.00000,0.00000,0.00000
0.10,0.0195,-0.0598,0.0073,0.033,0.000,0.7449,-0.0076,0,1,2,0.0220,-0.0598,0.0072,0.0699,0.0000,0.0000,0.03265,0.00000,-0.00317,-0.03200
0.15,0.0220,-0.0598,0.0071,0.070,0.000,0.7956,-0.0052,0,1,2,0.0265,-0.0597,0.0070,0.1097,0.0000,0.0000,0.06990,0.00000,-0.00000,0.00000
0.20,0.0265,-0.0597,0.0069,0.110,0.000,0.8327,-0.0047,0,1,2,0.0330,-0.0597,0.0068,0.1513,0.0000,0.0000,0.10967,0.00000,-0.01063,-0.03200
0.25,0.0330,-0.0597,0.0066,0.151,0.000,0.8618,-0.0052,0,1,2,0.0417,-0.0596,0.0065,0.1944,0.0000,0.0000,0.15131,0.00000,-0.00000,0.00000
0.30,0.0417,-0.0596,0.0062,0.194,0.000,0.8822,-0.0063,0,1,2,0.0525,-0.0596,0.0060,0.2385,0.0000,0.0000,0.19440,0.00000,-0.01885,-0.03200
0.35,0.0525,-0.0596,0.0057,0.239,0.050,0.8966,-0.0073,0,1,2,0.0655,-0.0595,0.0054,0.2833,0.0000,0.0000,0.23851,0.00000,-0.00000,0.00000
0.40,0.0656,-0.0595,0.0050,0.283,0.050,0.9054,-0.0084,0,1,2,0.0808,-0.0594,0.0047,0.3286,0.0000,0.0000,0.28334,0.00000,-0.02747,-0.03200
0.45,0.0808,-0.0594,0.0043,0.329,0.050,0.9083,-0.0095,0,1,2,0.0984,-0.0593,0.0038,0.3740,0.0000,0.0000,0.32861,0.00000,-0.00000,0.00000
0.50,0.0984,-0.0593,0.0034,0.374,0.100,0.9078,-0.0102,0,1,2,0.1183,-0.0593,0.0028,0.4194,0.0000,0.0000,0.37403,0.00000,-0.03626,-0.03200
